Unnamed: 0,League,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,League_new,gameid
2057,LCS 2023 Championship,Round 1,100 Thieves,Team Liquid,1 - 3,2,13.14,Ziggs,Jayce,Rumble,Renekton,Poppy,Azir,Tristana,Rakan,Xayah,Kai'Sa,Nautilus,Cassiopeia,Maokai,Fiora,Ivern,Gwen,Sejuani,Ornn,Viego,Jax,Mid,Bot,Support,Top,Jungle,Support,Bot,Mid,Jungle,Top,LCS,ESPORTSTMNT01_3409592
2058,LCS 2023 Championship,Round 1,100 Thieves,Team Liquid,1 - 2,2,13.14,Ziggs,Jayce,Rumble,Renekton,Poppy,Azir,Kai'Sa,Tristana,Nautilus,Rell,Ahri,Cassiopeia,Viego,Sejuani,Lee Sin,Kennen,Taric,Rakan,K'Sante,Fiora,Bot,Jungle,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,LCS,ESPORTSTMNT01_3409589
2059,LCS 2023 Championship,Round 1,Team Liquid,100 Thieves,1 - 1,2,13.14,Jayce,Ziggs,Azir,Rumble,Renekton,Poppy,Xayah,Kai'Sa,Rell,Rakan,K'Sante,Tristana,Cassiopeia,Maokai,Vi,Ivern,Nautilus,Viego,Neeko,Ornn,Bot,Support,Top,Jungle,Mid,Bot,Jungle,Mid,Support,Top,LCS,ESPORTSTMNT01_3409583
2060,LCS 2023 Championship,Round 1,Team Liquid,100 Thieves,1 - 0,1,13.14,Jayce,Ziggs,Xayah,Rumble,Renekton,Kai'Sa,Tristana,Rell,Azir,Rakan,Ezreal,K'Sante,Gwen,Sivir,Sejuani,Zeri,Renata Glasc,Kennen,Poppy,Varus,Mid,Support,Bot,Top,Jungle,Jungle,Mid,Top,Support,Bot,LCS,ESPORTSTMNT01_3409559
2061,LCS 2023 Championship,Round 1,Dignitas,TSM,3 - 2,1,13.14,Rell,Ivern,Rumble,Aatrox,LeBlanc,Tristana,Rakan,Kai'Sa,Sejuani,Maokai,Xayah,Sett,Illaoi,Renekton,Fiora,Ahri,K'Sante,Azir,Gwen,Xerath,Support,Jungle,Bot,Mid,Top,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3409320
2062,LCS 2023 Championship,Round 1,Dignitas,TSM,2 - 2,2,13.14,Renekton,Ivern,Rell,Aatrox,Rumble,Tristana,LeBlanc,Kai'Sa,Rakan,Maokai,Jayce,Sejuani,Renata Glasc,Lucian,Zeri,Malphite,K'Sante,Xayah,Nautilus,Ahri,Top,Jungle,Mid,Bot,Support,Bot,Support,Jungle,Top,Mid,LCS,ESPORTSTMNT01_3408372
2063,LCS 2023 Championship,Round 1,Dignitas,TSM,2 - 1,1,13.14,Renekton,Ivern,Rell,Aatrox,Rumble,Kai'Sa,Tristana,Maokai,Jayce,Sejuani,Rakan,Ezreal,Xayah,Nautilus,Zeri,Malphite,Vi,K'Sante,Ziggs,Poppy,Mid,Jungle,Support,Top,Bot,Support,Mid,Bot,Jungle,Top,LCS,ESPORTSTMNT01_3408364
2064,LCS 2023 Championship,Round 1,TSM,Dignitas,1 - 1,1,13.14,Ivern,Renekton,Kai'Sa,LeBlanc,Aatrox,Rell,Rumble,Tristana,Maokai,Jayce,Ezreal,Ornn,Sejuani,Kalista,Nautilus,Rakan,Zeri,Vi,Leona,Braum,Top,Mid,Bot,Jungle,Support,Mid,Jungle,Top,Bot,Support,LCS,ESPORTSTMNT01_3408355
2065,LCS 2023 Championship,Round 1,TSM,Dignitas,0 - 1,2,13.14,Ivern,Renekton,Kai'Sa,LeBlanc,Aatrox,Rell,Rumble,Tristana,Maokai,Jayce,Ezreal,Ornn,Sejuani,Kalista,Nautilus,Xayah,Rakan,Lillia,Sett,Zeri,Top,Mid,Bot,Jungle,Support,Mid,Jungle,Top,Support,Bot,LCS,ESPORTSTMNT01_3409279
2066,LCS 2023 Championship,Round 1,Team Liquid,NRG,1 - 3,2,13.14,LeBlanc,Rumble,Poppy,Ziggs,Xayah,Rakan,Kai'Sa,Renekton,Rell,Sejuani,Jax,Ezreal,Nautilus,Azir,Cassiopeia,Syndra,Tristana,Sett,Jayce,Ivern,Bot,Jungle,Top,Support,Mid,Top,Support,Bot,Mid,Jungle,LCS,ESPORTSTMNT01_3401640
2067,LCS 2023 Championship,Round 1,Team Liquid,NRG,1 - 2,1,13.14,Ivern,Rumble,LeBlanc,Ziggs,Xayah,Rakan,Kai'Sa,Renekton,Rell,Nautilus,Tristana,Ezreal,Vi,Azir,Ornn,Poppy,Jayce,Sejuani,Jax,Maokai,Bot,Support,Mid,Jungle,Top,Top,Support,Bot,Mid,Jungle,LCS,ESPORTSTMNT01_3402602
2068,LCS 2023 Championship,Round 1,Team Liquid,NRG,0 - 2,2,13.14,Ivern,Rumble,LeBlanc,Ziggs,Xayah,Rakan,Kai'Sa,Renekton,Rell,Kennen,Tristana,Syndra,Vi,Zeri,Nautilus,Sejuani,Ezreal,Trundle,Leona,Poppy,Bot,Top,Mid,Jungle,Support,Top,Support,Mid,Bot,Jungle,LCS,ESPORTSTMNT01_3403577
2069,LCS 2023 Championship,Round 1,Team Liquid,NRG,0 - 1,2,13.14,Ivern,Rumble,LeBlanc,Ziggs,Sejuani,Kindred,Kai'Sa,Rell,Rakan,Maokai,Jayce,Xayah,Nautilus,Yone,Ornn,Tristana,Renekton,Gnar,Sett,Azir,Bot,Jungle,Mid,Top,Support,Jungle,Support,Bot,Top,Mid,LCS,ESPORTSTMNT01_3402561
2070,LCS 2023 Championship,Round 1,TSM,Evil Geniuses.NA,2 - 3,2,13.14,Ivern,Renekton,Ahri,Rumble,Jayce,Rell,Tristana,Rakan,Sejuani,Xayah,Maokai,Sylas,Renata Glasc,Jax,Sett,Kai'Sa,Aphelios,Braum,Ornn,Aatrox,Mid,Bot,Jungle,Support,Top,Support,Jungle,Mid,Bot,Top,LCS,ESPORTSTMNT01_3403380
2071,LCS 2023 Championship,Round 1,TSM,Evil Geniuses.NA,2 - 2,1,13.14,Ivern,Renekton,Jayce,LeBlanc,Ahri,Rell,Tristana,Rakan,Xayah,Sejuani,Rumble,Jax,Thresh,Viego,Renata Glasc,Sylas,Poppy,Varus,Sett,Yone,Mid,Jungle,Top,Bot,Support,Support,Bot,Top,Jungle,Mid,LCS,ESPORTSTMNT01_3403374
2072,LCS 2023 Championship,Round 1,TSM,Evil Geniuses.NA,1 - 2,2,13.14,Ivern,Renekton,Jayce,LeBlanc,Tristana,Rumble,Rell,Rakan,Xayah,Jinx,Thresh,Sejuani,Kennen,Yone,Lucian,Jax,Ahri,Kai'Sa,Ornn,Fiora,Jungle,Bot,Support,Mid,Top,Support,Bot,Jungle,Mid,Top,LCS,ESPORTSTMNT01_3401413
2073,LCS 2023 Championship,Round 1,TSM,Evil Geniuses.NA,1 - 1,2,13.14,Ivern,Renekton,Jayce,LeBlanc,Tristana,Kai'Sa,Rell,Rakan,Xayah,Rumble,Jinx,Sejuani,Lucian,Yone,Cassiopeia,Sylas,Ahri,Thresh,Lissandra,Jax,Jungle,Top,Bot,Support,Mid,Support,Bot,Jungle,Mid,Top,LCS,ESPORTSTMNT01_3402369
2074,LCS 2023 Championship,Round 1,Evil Geniuses,TSM,0 - 1,2,13.14,Renekton,Ivern,Rumble,Jayce,LeBlanc,Tristana,Kai'Sa,Rell,Rakan,Poppy,Ahri,Xayah,Nautilus,Cassiopeia,Jax,Malphite,Lucian,K'Sante,Alistar,Ornn,Bot,Jungle,Mid,Top,Support,Jungle,Support,Bot,Mid,Top,LCS,ESPORTSTMNT01_3401372
2075,LCS 2023 Spring Playoffs,Finals,Golden Guardians,Cloud9,1 - 3,2,13.5,Jayce,Vi,Elise,Annie,Maokai,Caitlyn,Wukong,Xayah,Rakan,Lucian,Nami,LeBlanc,Lissandra,Lee Sin,Ahri,Nocturne,Poppy,Malphite,Galio,Olaf,Jungle,Bot,Support,Top,Mid,Bot,Support,Mid,Jungle,Top,LCS,ESPORTSTMNT01_3344237
2076,LCS 2023 Spring Playoffs,Finals,Cloud9,Golden Guardians,2 - 1,1,13.5,Vi,Annie,Jarvan IV,Jayce,Caitlyn,Maokai,Elise,Zeri,Lee Sin,Lucian,Nami,Lulu,K'Sante,Lissandra,Tristana,Malphite,Kennen,Renekton,LeBlanc,Ahri,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3342295
2077,LCS 2023 Spring Playoffs,Finals,Golden Guardians,Cloud9,1 - 1,1,13.5,Jayce,Vi,Maokai,Annie,Elise,Lissandra,Wukong,Sejuani,Zeri,Xayah,Rakan,K'Sante,Olaf,Renata Glasc,Gwen,Sylas,Lulu,Ahri,Malphite,Akali,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Top,Support,Mid,LCS,ESPORTSTMNT01_3342290
2078,LCS 2023 Spring Playoffs,Finals,Cloud9,Golden Guardians,1 - 0,1,13.5,Vi,Annie,Jarvan IV,Jayce,Caitlyn,Varus,Maokai,Zeri,K'Sante,Aphelios,Thresh,Sejuani,Gragas,Blitzcrank,Tristana,Lulu,Rakan,Olaf,Orianna,Kennen,Jungle,Bot,Support,Top,Mid,Bot,Mid,Jungle,Support,Top,LCS,ESPORTSTMNT01_3343206
2079,LCS 2023 Spring Playoffs,Round 3,FlyQuest,Golden Guardians,2 - 3,2,13.5,Sejuani,Annie,Malphite,Maokai,Vi,Wukong,Elise,Lucian,Nami,Jayce,Sion,Jarvan IV,Zeri,Gwen,Varus,Taliyah,Fiora,Xayah,Rakan,Lissandra,Jungle,Mid,Top,Bot,Support,Bot,Support,Jungle,Top,Mid,LCS,ESPORTSTMNT01_3342189
2080,LCS 2023 Spring Playoffs,Round 3,Golden Guardians,FlyQuest,2 - 2,1,13.5,Sion,Annie,Wukong,Caitlyn,Sejuani,Maokai,Elise,K'Sante,Lucian,Xayah,Rakan,Nami,Jayce,LeBlanc,Yone,Veigar,Gragas,Tristana,Malphite,Sylas,Jungle,Bot,Support,Mid,Top,Top,Bot,Support,Jungle,Mid,LCS,ESPORTSTMNT01_3342188
2081,LCS 2023 Spring Playoffs,Round 3,FlyQuest,Golden Guardians,2 - 1,1,13.5,Sejuani,Annie,Vi,Lucian,Lissandra,Varus,Maokai,Caitlyn,Wukong,Jayce,Jinx,Taliyah,Blitzcrank,Gwen,K'Sante,Malphite,Heimerdinger,Ornn,Rakan,Olaf,Jungle,Mid,Bot,Top,Support,Bot,Jungle,Mid,Support,Top,LCS,ESPORTSTMNT01_3342185
2082,LCS 2023 Spring Playoffs,Round 3,Golden Guardians,FlyQuest,1 - 1,1,13.5,Lulu,Annie,Lucian,Caitlyn,Maokai,Elise,Wukong,Xayah,Vi,Zeri,Kennen,Sion,Renata Glasc,Rakan,Soraka,Sylas,Heimerdinger,Lissandra,Jarvan IV,Taliyah,Jungle,Bot,Top,Mid,Support,Bot,Jungle,Top,Support,Mid,LCS,ESPORTSTMNT01_3343111
2083,LCS 2023 Spring Playoffs,Round 3,FlyQuest,Golden Guardians,1 - 0,1,13.5,Caitlyn,Annie,Sejuani,Lucian,Vi,Lulu,Maokai,K'Sante,Zeri,Jayce,Xayah,Elise,Rakan,Gwen,Nautilus,Olaf,Leona,Braum,Sion,Fiora,Jungle,Mid,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,LCS,ESPORTSTMNT01_3342164
2084,LCS 2023 Spring Playoffs,Round 2,Golden Guardians,Evil Geniuses.NA,3 - 0,1,13.5,Varus,Caitlyn,Thresh,Annie,Wukong,Vi,Maokai,Zeri,Lulu,K'Sante,Tristana,Malphite,Sylas,Sejuani,Olaf,Lee Sin,Viego,Rumble,Amumu,Lissandra,Jungle,Mid,Bot,Top,Support,Bot,Support,Top,Jungle,Mid,LCS,ESPORTSTMNT01_3337648
2085,LCS 2023 Spring Playoffs,Round 2,Evil Geniuses,Golden Guardians,0 - 2,2,13.5,Elise,Varus,Caitlyn,Thresh,Wukong,Annie,Vi,K'Sante,Maokai,Zeri,Ahri,Tristana,Lulu,Lucian,Rakan,Xayah,Rell,Nautilus,Sion,Gwen,Jungle,Bot,Mid,Support,Top,Mid,Jungle,Bot,Support,Top,LCS,ESPORTSTMNT01_3338662
2086,LCS 2023 Spring Playoffs,Round 2,Evil Geniuses,Golden Guardians,0 - 1,2,13.5,Elise,Varus,Sejuani,Thresh,Vi,Annie,Maokai,Caitlyn,Wukong,Jinx,Tristana,Taliyah,Blitzcrank,Malphite,Kennen,Lux,Heimerdinger,Ashe,K'Sante,Fiora,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,LCS,ESPORTSTMNT01_3338636
2087,LCS 2023 Spring Playoffs,Round 2,FlyQuest,Cloud9,0 - 3,2,13.5,Jayce,Vi,Elise,Annie,Varus,Lucian,Maokai,Sejuani,Aphelios,Tristana,Sion,Sylas,Caitlyn,Jax,Zeri,K'Sante,Renekton,Jinx,Thresh,Braum,Jungle,Mid,Top,Bot,Support,Jungle,Bot,Mid,Top,Support,LCS,ESPORTSTMNT01_3337340
2088,LCS 2023 Spring Playoffs,Round 2,FlyQuest,Cloud9,0 - 2,2,13.5,Jayce,Vi,Heimerdinger,Annie,Elise,Lucian,Zeri,Maokai,Varus,Sejuani,Rakan,K'Sante,Sylas,Renata Glasc,Renekton,Tristana,Soraka,Jax,Veigar,Orianna,Bot,Jungle,Support,Top,Mid,Jungle,Bot,Top,Support,Mid,LCS,ESPORTSTMNT01_3336443
2089,LCS 2023 Spring Playoffs,Round 2,Cloud9,FlyQuest,1 - 0,1,13.5,Vi,Annie,Ahri,Jayce,Sejuani,Elise,Maokai,Zeri,Wukong,Varus,K'Sante,Rakan,Renata Glasc,Sion,Kennen,Veigar,Renekton,Heimerdinger,Tristana,Viktor,Jungle,Bot,Top,Support,Mid,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3338344
2090,LCS 2023 Spring Playoffs,Round 1,Counter Logic Gaming,Evil Geniuses.NA,0 - 3,2,13.5,Ahri,Annie,Maokai,Sejuani,Varus,Elise,Rakan,Wukong,Aphelios,Xayah,Gragas,Thresh,Vi,LeBlanc,Malphite,Syndra,Veigar,Jayce,Sion,K'Sante,Support,Bot,Jungle,Mid,Top,Jungle,Bot,Support,Mid,Top,LCS,ESPORTSTMNT01_3333302
2091,LCS 2023 Spring Playoffs,Round 1,Counter Logic Gaming,Evil Geniuses.NA,0 - 2,2,13.5,Thresh,Annie,Maokai,Sejuani,Wukong,Elise,Vi,Varus,Ahri,Zeri,Rakan,Ashe,Sion,Poppy,Sylas,Viego,Lee Sin,Vex,Renekton,Malphite,Jungle,Bot,Support,Mid,Top,Bot,Mid,Support,Jungle,Top,LCS,ESPORTSTMNT01_3333294
2092,LCS 2023 Spring Playoffs,Round 1,Counter Logic Gaming,Evil Geniuses.NA,0 - 1,2,13.5,Thresh,Sejuani,Varus,Elise,Maokai,Annie,Vi,Wukong,Zeri,Jinx,Taliyah,Ahri,Renata Glasc,Blitzcrank,Gwen,Garen,Rakan,Lulu,Sion,Malphite,Jungle,Bot,Mid,Support,Top,Jungle,Bot,Mid,Support,Top,LCS,ESPORTSTMNT01_3335201
2093,LCS 2023 Spring Playoffs,Round 1,100 Thieves,Golden Guardians,2 - 3,2,13.5,Elise,Rakan,Lucian,Lee Sin,Vi,Annie,Wukong,Zeri,Maokai,Jinx,Thresh,Blitzcrank,Lissandra,Veigar,Zilean,LeBlanc,K'Sante,Sion,Taliyah,Gwen,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Mid,Top,LCS,ESPORTSTMNT01_3333073
2094,LCS 2023 Spring Playoffs,Round 1,Golden Guardians,100 Thieves,2 - 2,1,13.5,Rakan,Elise,Lee Sin,Annie,Viego,LeBlanc,Wukong,Zeri,Vi,Lucian,Nami,Lulu,Veigar,Taliyah,Sylas,Sion,Gragas,Olaf,Galio,Zilean,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3335003
2095,LCS 2023 Spring Playoffs,Round 1,100 Thieves,Golden Guardians,2 - 1,1,13.5,Elise,Rakan,LeBlanc,Lee Sin,Vi,Wukong,Annie,Jinx,Veigar,Viego,Zeri,Xin Zhao,Lulu,Tahm Kench,Lissandra,Renata Glasc,Thresh,Blitzcrank,Gragas,K'Sante,Mid,Jungle,Bot,Support,Top,Bot,Mid,Jungle,Support,Top,LCS,ESPORTSTMNT01_3334019
2096,LCS 2023 Spring Playoffs,Round 1,Golden Guardians,100 Thieves,1 - 1,1,13.5,Rakan,Elise,Lee Sin,Annie,Viego,Veigar,Wukong,Jinx,Vi,Lucian,Nami,Nautilus,LeBlanc,Ahri,Akali,Taliyah,Sion,Sylas,Gwen,Viktor,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3334011
2097,LCS 2023 Spring Playoffs,Round 1,100 Thieves,Golden Guardians,1 - 0,1,13.5,Elise,Rakan,Veigar,Lee Sin,Maokai,Annie,Wukong,Zeri,Vi,Jinx,Thresh,Lulu,Lissandra,LeBlanc,Sion,Sylas,Renekton,K'Sante,Zilean,Akali,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3331967
2098,LCS 2023 Spring Playoffs,Round 1,Counter Logic Gaming,Cloud9,1 - 3,2,13.5,Draven,Sejuani,Varus,Vi,Lee Sin,Annie,Elise,Zeri,Maokai,Jayce,Sion,K'Sante,Jinx,Heimerdinger,Aphelios,Lulu,LeBlanc,Xayah,Rakan,Renata Glasc,Jungle,Mid,Top,Bot,Support,Bot,Jungle,Top,Mid,Support,LCS,ESPORTSTMNT01_3332787
2099,LCS 2023 Spring Playoffs,Round 1,Cloud9,Counter Logic Gaming,2 - 1,1,13.5,Sejuani,Elise,Taliyah,Annie,Vi,Heimerdinger,Maokai,Sion,Wukong,Zeri,Jayce,Jinx,Cho'Gath,Thresh,Syndra,Lissandra,Lulu,Soraka,Gragas,Veigar,Jungle,Bot,Mid,Support,Top,Top,Jungle,Bot,Support,Mid,LCS,ESPORTSTMNT01_3332778
2100,LCS 2023 Spring Playoffs,Round 1,Counter Logic Gaming,Cloud9,1 - 1,1,13.5,Heimerdinger,Sejuani,Draven,Annie,Varus,Taliyah,Elise,Lee Sin,Lucian,Zeri,Lulu,Nami,Yone,LeBlanc,Sion,Syndra,K'Sante,Jayce,Gwen,Kennen,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,Top,LCS,ESPORTSTMNT01_3332769
2101,LCS 2023 Spring Playoffs,Round 1,Cloud9,Counter Logic Gaming,1 - 0,1,13.5,Sejuani,Draven,Taliyah,Elise,Vi,Annie,Varus,Wukong,Sion,Maokai,Jayce,Sylas,Gwen,Lucian,Cho'Gath,Kalista,Zeri,Yone,Heimerdinger,Rakan,Bot,Jungle,Top,Mid,Support,Jungle,Top,Mid,Bot,Support,LCS,ESPORTSTMNT01_3330766
2102,LCS 2023 Spring Playoffs,Round 1,100 Thieves,FlyQuest,0 - 3,2,13.5,Elise,Viego,Vi,Rakan,Annie,Lee Sin,Wukong,Maokai,Zeri,Jinx,Thresh,Lulu,Syndra,Akali,Sion,Taliyah,Renekton,Gragas,Ahri,Veigar,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Support,Top,Mid,LCS,ESPORTSTMNT01_3330530
2103,LCS 2023 Spring Playoffs,Round 1,FlyQuest,100 Thieves,2 - 0,1,13.5,Lee Sin,Elise,Viego,Annie,Rakan,Vi,Wukong,Jinx,Xin Zhao,Zeri,Lulu,Thresh,Akali,Lissandra,Ahri,Veigar,Sion,Taliyah,K'Sante,Orianna,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3331486
2104,LCS 2023 Spring Playoffs,Round 1,FlyQuest,100 Thieves,1 - 0,1,13.5,Viego,Elise,Lee Sin,Annie,Rakan,Vi,Wukong,Jinx,Xin Zhao,Sion,Veigar,Thresh,Zeri,Lissandra,Caitlyn,Gwen,Cho'Gath,Lucian,Nami,Zilean,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3331467
2105,LCS 2023 Spring,Tiebreakers,Counter Logic Gaming,100 Thieves,0 - 1,2,13.5,Xayah,Elise,Jinx,Annie,Zeri,Kalista,Varus,Kai'Sa,Sion,Rakan,Yone,Nautilus,Sejuani,Viego,Vi,Lee Sin,Wukong,Gragas,Taliyah,Lissandra,Bot,Support,Top,Jungle,Mid,Bot,Top,Support,Jungle,Mid,LCS,ESPORTSTMNT01_3324890
2106,LCS 2023 Spring,Tiebreakers,Evil Geniuses,100 Thieves,0 - 1,2,13.5,Zeri,Elise,Jinx,Annie,Xayah,Gragas,Varus,Sion,Kai'Sa,Sejuani,K'Sante,Rakan,Ashe,Wukong,Heimerdinger,Lee Sin,Viego,Thresh,Taliyah,Lissandra,Bot,Jungle,Top,Support,Mid,Top,Bot,Support,Jungle,Mid,LCS,ESPORTSTMNT01_3325814
2107,LCS 2023 Spring,Tiebreakers,FlyQuest,Cloud9,0 - 1,2,13.5,Gragas,Vi,LeBlanc,Annie,Varus,Caitlyn,Aphelios,Elise,Jayce,Thresh,Sion,Draven,Lee Sin,Nautilus,Jarvan IV,Blitzcrank,Renata Glasc,Xin Zhao,Ahri,Jax,Bot,Support,Top,Jungle,Mid,Jungle,Mid,Bot,Support,Top,LCS,ESPORTSTMNT01_3324874
2108,LCS 2023 Spring,Week 8,100 Thieves,Immortals,1 - 0,1,13.5,Graves,Gragas,Kindred,Zeri,Varus,Caitlyn,Annie,Xayah,Rakan,Jinx,Thresh,Ahri,Lee Sin,Gnar,Viego,Elise,Vi,Wukong,Sion,Gwen,Mid,Bot,Support,Jungle,Top,Bot,Support,Mid,Jungle,Top,LCS,ESPORTSTMNT01_3324865
2109,LCS 2023 Spring,Week 8,Dignitas,Golden Guardians,1 - 0,1,13.5,Gragas,Gnar,Elise,Sejuani,Caitlyn,Gwen,Annie,Sion,Jinx,Zeri,Vi,Tahm Kench,Lulu,Lee Sin,Orianna,LeBlanc,Kindred,K'Sante,Veigar,Syndra,Support,Bot,Jungle,Top,Mid,Top,Bot,Support,Jungle,Mid,LCS,ESPORTSTMNT01_3324855
2110,LCS 2023 Spring,Week 8,Evil Geniuses,Team Liquid,0 - 1,2,13.5,Kindred,Annie,Rakan,Elise,Thresh,Varus,Jayce,Lee Sin,Jinx,Aphelios,Gragas,Tahm Kench,Sion,LeBlanc,Lulu,Ahri,Ryze,Soraka,K'Sante,Fiora,Mid,Bot,Jungle,Support,Top,Jungle,Bot,Support,Mid,Top,LCS,ESPORTSTMNT01_3326772
2111,LCS 2023 Spring,Week 8,FlyQuest,TSM,1 - 0,1,13.5,Taliyah,Caitlyn,Rakan,Varus,Elise,Lee Sin,Annie,Jinx,Thresh,Zeri,Vi,Wukong,Lulu,Aurelion Sol,Ahri,Orianna,K'Sante,Jax,Heimerdinger,Syndra,Mid,Bot,Jungle,Top,Support,Bot,Support,Jungle,Top,Mid,LCS,ESPORTSTMNT01_3325749
2112,LCS 2023 Spring,Week 8,Counter Logic Gaming,Cloud9,1 - 0,1,13.5,Kalista,Rakan,Heimerdinger,Annie,Lee Sin,Jinx,Sejuani,Gragas,Varus,Zeri,Lulu,Jayce,Irelia,Thresh,Yone,K'Sante,Ashe,Sion,Taliyah,Cho'Gath,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Mid,Support,Top,LCS,ESPORTSTMNT01_3325730
2113,LCS 2023 Spring,Week 8,FlyQuest,Golden Guardians,1 - 0,1,13.5,Cho'Gath,Gragas,Sion,Annie,Zeri,Xayah,Varus,Vi,Lucian,Elise,Nautilus,Nami,Renekton,Taliyah,Yone,Ahri,LeBlanc,Tristana,K'Sante,Malphite,Bot,Jungle,Support,Mid,Top,Jungle,Bot,Support,Mid,Top,LCS,ESPORTSTMNT01_3326540
2114,LCS 2023 Spring,Week 8,Cloud9,Immortals,1 - 0,1,13.5,Kindred,Gragas,Graves,LeBlanc,Rakan,Annie,Varus,Nautilus,Viego,Elise,Jayce,Kalista,Yone,Vel'Koz,Heimerdinger,Gnar,Zoe,Braum,K'Sante,Fiora,Bot,Jungle,Top,Support,Mid,Support,Jungle,Bot,Mid,Top,LCS,ESPORTSTMNT01_3325518
2115,LCS 2023 Spring,Week 8,Counter Logic Gaming,Team Liquid,1 - 0,1,13.5,Thresh,Annie,Rakan,Sejuani,Lee Sin,Gragas,Elise,Zeri,Lulu,Jinx,Nautilus,Wukong,Yone,Ahri,Renekton,Veigar,Sion,Gwen,Jayce,Akali,Jungle,Bot,Support,Top,Mid,Bot,Support,Jungle,Top,Mid,LCS,ESPORTSTMNT01_3324554
2116,LCS 2023 Spring,Week 8,TSM,Dignitas,1 - 0,1,13.5,Sejuani,Elise,Thresh,Annie,Rakan,Caitlyn,Varus,Nami,Vi,Wukong,Sion,Lucian,Renata Glasc,Gnar,Nautilus,LeBlanc,Cho'Gath,Taliyah,Soraka,Anivia,Bot,Jungle,Top,Mid,Support,Support,Jungle,Bot,Top,Mid,LCS,ESPORTSTMNT01_3325480
2117,LCS 2023 Spring,Week 8,100 Thieves,Evil Geniuses.NA,1 - 0,1,13.5,Elise,Annie,Aphelios,Zeri,Varus,Vi,Gragas,Caitlyn,Sejuani,Xayah,Rakan,Lux,Lee Sin,Akali,Wukong,Sylas,K'Sante,Viego,Ahri,Veigar,Top,Bot,Support,Jungle,Mid,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3326454
2118,LCS 2023 Spring,Week 8,Team Liquid,Dignitas,1 - 0,1,13.5,Gragas,Elise,Thresh,Annie,Vi,Caitlyn,Sejuani,Varus,Lee Sin,Xayah,Rakan,Heimerdinger,Gnar,LeBlanc,Jayce,Renekton,K'Sante,Wukong,Akali,Taliyah,Top,Bot,Support,Jungle,Mid,Bot,Jungle,Support,Top,Mid,LCS,ESPORTSTMNT01_3326246
2119,LCS 2023 Spring,Week 8,Evil Geniuses,Immortals,0 - 1,2,13.5,Zoe,Gragas,Xayah,LeBlanc,Vel'Koz,Sylas,Annie,Varus,Kindred,Lee Sin,Sion,Galio,Ryze,Gwen,Zeri,Camille,K'Sante,Lucian,Nami,Nautilus,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,LCS,ESPORTSTMNT01_3326234
2120,LCS 2023 Spring,Week 8,100 Thieves,TSM,1 - 0,1,13.5,Elise,Lee Sin,Caitlyn,Gragas,Vi,Zeri,Annie,Xayah,Rakan,Wukong,Sion,Sejuani,Thresh,Cho'Gath,Ezreal,Gnar,K'Sante,Jinx,Renata Glasc,Aurelion Sol,Mid,Jungle,Top,Bot,Support,Bot,Support,Jungle,Top,Mid,LCS,ESPORTSTMNT01_3325223
2121,LCS 2023 Spring,Week 8,Golden Guardians,Counter Logic Gaming,0 - 1,2,13.5,Aurelion Sol,Caitlyn,Annie,Cho'Gath,Vi,Jinx,Thresh,Xayah,Rakan,Aphelios,Sion,Yone,Lee Sin,Gragas,Wukong,LeBlanc,Sejuani,Elise,Jayce,Orianna,Support,Bot,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid,LCS,ESPORTSTMNT01_3325205
