gameid,league_code,Winner,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
ESPORTSTMNT03_2714344,MSI,2,2022_Mid-Season_Invitational,Rumble Day 2,TALON,Evil Geniuses,0 - 1,12.8,Lucian,Wukong,Twisted Fate,Kalista,Gwen,Viego,Ezreal,Kai'Sa,Lee Sin,Ahri,Graves,LeBlanc,Karma,Nautilus,Ornn,Gangplank,Leona,Gnar,Rakan,Tryndamere,2,Bot,Mid,Jungle,Top,Support,Bot,Jungle,Mid,Support,Top
ESPORTSTMNT03_2714336,MSI,1,2022_Mid-Season_Invitational,Rumble Day 2,T1,Saigon Buffalo,1 - 0,12.8,Tristana,Lucian,Galio,Wukong,Volibear,Zoe,Ahri,Akali,Kalista,Ezreal,Vi,Nocturne,Jayce,Rakan,Yuumi,Gragas,Nautilus,Gwen,Braum,Kennen,1,Mid,Bot,Jungle,Top,Support,Mid,Bot,Jungle,Support,Top
ESPORTSTMNT03_2714328,MSI,1,2022_Mid-Season_Invitational,Rumble Day 2,Royal Never Give Up,TALON,1 - 0,12.8,LeBlanc,Lucian,Graves,Twisted Fate,Viego,Wukong,Ahri,Lee Sin,Kalista,Gwen,Nocturne,Vex,Alistar,Gangplank,Ezreal,Kennen,Vladimir,Tristana,Nautilus,Renata Glasc,1,Mid,Top,Jungle,Bot,Support,Jungle,Bot,Mid,Top,Support
ESPORTSTMNT03_2714308,MSI,1,2022_Mid-Season_Invitational,Rumble Day 2,G2 Esports,Evil Geniuses,1 - 0,12.8,Gwen,Lucian,Viego,Ahri,Senna,Kalista,Wukong,Ezreal,Lee Sin,Kai'Sa,LeBlanc,Leona,Rakan,Twisted Fate,Pyke,Gangplank,Ryze,Ornn,Nautilus,Mordekaiser,1,Jungle,Bot,Mid,Top,Support,Bot,Jungle,Support,Mid,Top
ESPORTSTMNT03_2714207,MSI,2,2022_Mid-Season_Invitational,Rumble Day 1,TALON,T1,0 - 1,12.8,Lucian,Vex,Caitlyn,Wukong,Twisted Fate,Rakan,Ahri,Kalista,Graves,Viego,Kennen,Zoe,Nautilus,Jayce,Leona,Gangplank,Irelia,Tristana,Rell,Gragas,2,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support
ESPORTSTMNT03_2714202,MSI,2,2022_Mid-Season_Invitational,Rumble Day 1,Saigon Buffalo,Evil Geniuses,0 - 1,12.8,Kalista,Lucian,Gangplank,Tristana,LeBlanc,Ahri,Wukong,Ezreal,Viego,Kai'Sa,Gwen,Jax,Nautilus,Karma,Sylas,Yuumi,Twisted Fate,Galio,Rakan,Leona,2,Jungle,Bot,Top,Mid,Support,Bot,Jungle,Top,Mid,Support
ESPORTSTMNT03_2714197,MSI,1,2022_Mid-Season_Invitational,Rumble Day 1,G2 Esports,Royal Never Give Up,1 - 0,12.8,Gangplank,Lucian,Graves,Pyke,Kalista,LeBlanc,Wukong,Gwen,Ahri,Zoe,Vladimir,Ezreal,Tristana,Viego,Senna,Karma,Lee Sin,Kai'Sa,Nautilus,Leona,1,Jungle,Mid,Top,Bot,Support,Top,Mid,Bot,Jungle,Support
ESPORTSTMNT03_2714186,MSI,1,2022_Mid-Season_Invitational,Rumble Day 1,TALON,Saigon Buffalo,1 - 0,12.8,Lucian,Wukong,Twisted Fate,Kalista,Galio,LeBlanc,Ahri,Tristana,Volibear,Gwen,Viego,Veigar,Ezreal,Akali,Renata Glasc,Jayce,Vladimir,Xayah,Rakan,Rell,1,Mid,Top,Jungle,Bot,Support,Bot,Jungle,Mid,Top,Support
ESPORTSTMNT03_2714174,MSI,2,2022_Mid-Season_Invitational,Rumble Day 1,Evil Geniuses,Royal Never Give Up,0 - 1,12.8,Kalista,Lucian,LeBlanc,Wukong,Jax,Ahri,Gwen,Ezreal,Twisted Fate,Diana,Yasuo,Gangplank,Samira,Karma,Rakan,Viego,Xin Zhao,Jhin,Leona,Braum,2,Top,Jungle,Mid,Bot,Support,Bot,Mid,Top,Jungle,Support
ESPORTSTMNT03_2714142,MSI,2,2022_Mid-Season_Invitational,Rumble Day 1,T1,G2 Esports,0 - 1,12.8,LeBlanc,Caitlyn,Senna,Wukong,Ahri,Lucian,Twisted Fate,Kalista,Diana,Viego,Kennen,Yasuo,Tahm Kench,Gragas,Aphelios,Gangplank,Ornn,Tristana,Rell,Rakan,2,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support
ESPORTSTMNT03_2713300,MSI,2,2022_Mid-Season_Invitational,Groups Day 6,Saigon Buffalo,T1,0 - 1,12.8,Jayce,Tristana,Caitlyn,Lucian,LeBlanc,Ahri,Twisted Fate,Sylas,Wukong,Viego,Gwen,Jax,Nautilus,Senna,Karma,Ezreal,Kalista,Ashe,Braum,Rumble,2,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top,Bot,Support
ESPORTSTMNT03_2713294,MSI,2,2022_Mid-Season_Invitational,Groups Day 6,DetonatioN FocusMe,Team Aze,0 - 1,12.8,Trundle,Karma,Lee Sin,Lucian,Ahri,Poppy,Twisted Fate,Galio,Graves,Wukong,Urgot,Gwen,Renata Glasc,Leona,Kai'Sa,Alistar,Nautilus,Senna,Tahm Kench,Ezreal,2,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top,Support,Bot
ESPORTSTMNT03_2713280,MSI,1,2022_Mid-Season_Invitational,Groups Day 6,T1,Team Aze,1 - 0,12.8,Leona,Lucian,Nautilus,Karma,Rakan,Caitlyn,Wukong,Ahri,Lee Sin,LeBlanc,Gwen,Gangplank,Senna,Alistar,Kalista,Ezreal,Jhin,Kai'Sa,Pyke,Renata Glasc,1,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top,Bot,Support
ESPORTSTMNT03_2713269,MSI,1,2022_Mid-Season_Invitational,Groups Day 6,Saigon Buffalo,DetonatioN FocusMe,1 - 0,12.8,Karma,Twisted Fate,LeBlanc,Lucian,Urgot,Ahri,Kalista,Wukong,Aphelios,Gwen,Diana,Alistar,Yasuo,Vex,Nautilus,Syndra,Vel'Koz,Kai'Sa,Sett,Tryndamere,1,Mid,Top,Jungle,Bot,Support,Jungle,Bot,Support,Mid,Top
ESPORTSTMNT03_2713259,MSI,2,2022_Mid-Season_Invitational,Groups Day 6,DetonatioN FocusMe,T1,0 - 1,12.8,Caitlyn,Urgot,LeBlanc,Lucian,Twisted Fate,Ahri,Wukong,Zoe,Graves,Aphelios,Syndra,Ezreal,Nautilus,Karma,Tryndamere,Jayce,Gangplank,Rumble,Rakan,Bard,2,Jungle,Bot,Mid,Top,Support,Mid,Jungle,Bot,Top,Support
ESPORTSTMNT03_2713243,MSI,2,2022_Mid-Season_Invitational,Groups Day 6,Team Aze,Saigon Buffalo,0 - 1,12.8,Gwen,Ahri,Twisted Fate,Karma,Lucian,LeBlanc,Lee Sin,Viego,Tristana,Samira,Alistar,Galio,Jayce,Camille,Sylas,Gangplank,Gragas,Sion,Zoe,Aatrox,2,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Mid,Support,Top
ESPORTSTMNT03_2713164,MSI,1,2022_Mid-Season_Invitational,Groups Day 5,Royal Never Give Up,RED Canids,1 - 0,12.8,LeBlanc,Lucian,Gangplank,Wukong,Ahri,Galio,Gwen,Lee Sin,Leona,Graves,Gragas,Twisted Fate,Ryze,Jax,Ezreal,Tristana,Darius,Tahm Kench,Senna,Xayah,1,Mid,Jungle,Top,Bot,Support,Jungle,Support,Mid,Top,Bot
ESPORTSTMNT03_2713153,MSI,1,2022_Mid-Season_Invitational,Groups Day 5,Royal Never Give Up,TALON,1 - 0,12.8,Graves,Lucian,Vladimir,Wukong,LeBlanc,Ezreal,Ahri,Vex,Viego,Kalista,Gwen,Akali,Lee Sin,Tristana,Volibear,Xayah,Leona,Nocturne,Shen,Kai'Sa,1,Mid,Bot,Top,Jungle,Support,Mid,Jungle,Top,Support,Bot
ESPORTSTMNT03_2713143,MSI,2,2022_Mid-Season_Invitational,Groups Day 5,İstanbul Wildcats,Royal Never Give Up,0 - 1,12.8,Camille,Lucian,Gwen,Samira,Wukong,Kalista,Ahri,Ezreal,Viego,Kai'Sa,Leona,LeBlanc,Lee Sin,Braum,Xin Zhao,Sett,Nautilus,Garen,Graves,Gangplank,2,Mid,Bot,Support,Top,Jungle,Bot,Jungle,Mid,Support,Top
ESPORTSTMNT03_2713134,MSI,2,2022_Mid-Season_Invitational,Groups Day 5,ORDER,G2 Esports,0 - 1,12.8,Pyke,Karthus,Wukong,Diana,Lucian,Ahri,Karma,Senna,Sion,Viego,Caitlyn,Sejuani,LeBlanc,Irelia,Kayle,Tryndamere,Gwen,Urgot,Twisted Fate,Yone,2,Support,Jungle,Bot,Top,Mid,Support,Bot,Jungle,Mid,Top
